t,yearvec,births.new,births.cumulative,births.cbr,deaths.new,deaths.cumulative,deaths.cmr,seir.n_susceptible,seir.n_infected,seir.n_exposed,seir.n_recovered,seir.prevalence,seir.new_infections,seir.cum_infections,n_alive,new_deaths,cum_deaths
2020.8333333333326,2020.8333333333326,58.0,631.0,27.378938672750873,17.0,194.0,8.024861335116634,21728.0,797.0,1956.0,940.0,0.10829629046851029,638.0,3716.0,25421.0,19.0,191.0
2020.9166666666658,2020.9166666666658,58.0,689.0,27.32948521616209,9.0,203.0,4.240782188714807,20981.0,925.0,2487.0,1074.0,0.13397730396199004,797.0,4513.0,25467.0,12.0,210.0
2020.999999999999,2020.999999999999,58.0,747.0,27.286627200376365,14.0,217.0,6.586427255263261,20085.0,1136.0,3042.0,1244.0,0.16379817305053515,942.0,5455.0,25507.0,18.0,222.0
2021.0833333333323,2021.0833333333323,58.0,805.0,27.240704500978474,12.0,229.0,5.636007827788649,19075.0,1371.0,3651.0,1453.0,0.19655577299412916,1060.0,6515.0,25550.0,15.0,240.0
2021.1666666666656,2021.1666666666656,58.0,863.0,27.200250117242458,16.0,245.0,7.503517273722058,18047.0,1622.0,4184.0,1735.0,0.2269032358918243,1076.0,7591.0,25588.0,20.0,255.0
2021.2499999999989,2021.2499999999989,58.0,921.0,27.155676941084664,14.0,259.0,6.554818571985954,17123.0,1919.0,4537.0,2051.0,0.2518923136948888,974.0,8565.0,25630.0,16.0,275.0
2021.3333333333321,2021.3333333333321,58.0,979.0,27.123928293063134,23.0,282.0,10.756040530007795,16481.0,2206.0,4552.0,2421.0,0.2633671083398285,684.0,9249.0,25660.0,28.0,291.0
2021.4166666666654,2021.4166666666654,58.0,1037.0,27.095417915677192,22.0,304.0,10.277572312843073,16287.0,2423.0,4144.0,2833.0,0.2556546112819714,239.0,9488.0,25687.0,31.0,319.0
2021.4999999999986,2021.4999999999986,59.0,1096.0,27.517587158459325,12.0,316.0,5.596797388161219,16338.0,2487.0,3618.0,3286.0,0.23728088926891835,0.0,9488.0,25729.0,17.0,350.0
2021.583333333332,2021.583333333332,59.0,1155.0,27.48340514731571,20.0,336.0,9.3164085245138,16146.0,2514.0,3399.0,3703.0,0.22953301502270876,237.0,9725.0,25761.0,27.0,367.0
2021.6666666666652,2021.6666666666652,59.0,1214.0,27.44292414434668,11.0,347.0,5.116477382844296,15503.0,2460.0,3714.0,4123.0,0.23931160122485368,697.0,10422.0,25799.0,21.0,394.0
2021.7499999999984,2021.7499999999984,59.0,1273.0,27.400441193544644,13.0,360.0,6.037385347730176,14443.0,2519.0,4372.0,4506.0,0.2666898873795426,1111.0,11533.0,25839.0,19.0,415.0
2021.8333333333317,2021.8333333333317,59.0,1332.0,27.36654941826756,18.0,378.0,8.349116771674847,13190.0,2707.0,5080.0,4895.0,0.3009933902825558,1299.0,12832.0,25871.0,27.0,434.0
2021.916666666665,2021.916666666665,59.0,1391.0,27.3264116716199,12.0,390.0,5.557914238295573,11870.0,2895.0,5801.0,5344.0,0.33563626539040486,1374.0,14206.0,25909.0,21.0,461.0
2021.9999999999982,2021.9999999999982,59.0,1450.0,27.281134401972874,11.0,401.0,5.086313193588163,10532.0,3141.0,6453.0,5827.0,0.3696824907521578,1392.0,15598.0,25952.0,16.0,482.0
2022.0833333333314,2022.0833333333314,59.0,1509.0,27.25173210161663,16.0,417.0,7.390300230946882,9303.0,3468.0,6862.0,6348.0,0.3976135488837567,1284.0,16882.0,25980.0,31.0,498.0
2022.1666666666647,2022.1666666666647,59.0,1568.0,27.209838585703306,12.0,429.0,5.534204458109147,8204.0,3786.0,7067.0,6964.0,0.4171022290545734,1155.0,18037.0,26020.0,19.0,529.0
2022.249999999998,2022.249999999998,59.0,1627.0,27.18267680258005,22.0,451.0,10.1359133840129,7368.0,4116.0,6999.0,7564.0,0.4267449896337249,893.0,18930.0,26046.0,33.0,548.0
2022.3333333333312,2022.3333333333312,59.0,1686.0,27.156610793602088,22.0,473.0,10.126193855241457,6910.0,4289.0,6588.0,8285.0,0.41720685819492925,513.0,19443.0,26071.0,34.0,581.0
2022.4166666666645,2022.4166666666645,59.0,1745.0,27.126436781609193,20.0,493.0,9.195402298850574,6803.0,4385.0,5944.0,8970.0,0.3957471264367816,163.0,19606.0,26100.0,30.0,615.0
2022.4999999999977,2022.4999999999977,59.0,1804.0,27.099441169715995,22.0,515.0,10.104876368368675,6856.0,4347.0,5229.0,9696.0,0.36653142463446375,0.0,19606.0,26126.0,33.0,645.0
2022.583333333331,2022.583333333331,60.0,1864.0,27.51557305002484,11.0,526.0,5.044521725837888,6746.0,4258.0,4835.0,10330.0,0.3474987579776054,168.0,19774.0,26167.0,19.0,678.0
2022.6666666666642,2022.6666666666642,60.0,1924.0,27.48091603053435,12.0,538.0,5.4961832061068705,6291.0,4198.0,4805.0,10908.0,0.3436259541984733,513.0,20287.0,26200.0,27.0,697.0
2022.7499999999975,2022.7499999999975,60.0,1984.0,27.453671928620455,25.0,563.0,11.439029970258522,5707.0,4130.0,4913.0,11478.0,0.34481049340349273,638.0,20925.0,26226.0,34.0,724.0
2022.8333333333308,2022.8333333333308,60.0,2044.0,27.432751657395414,26.0,589.0,11.88752571820468,5056.0,4071.0,5072.0,12049.0,0.34835784500495315,702.0,21627.0,26246.0,40.0,758.0
