year,county,n_alive
2023,Kakamega,2018695.58988389
2023,Kericho,960471.301969095
2023,Kiambu,2675654.29659266
2023,Kilifi,1591364.54944717
2023,Kirinyaga,655543.10376614
2023,Kisii,1350798.40877613
2023,Kisumu,1258016.69789992
2023,Kitui,1236532.07812026
2023,Kwale,954415.203090607
2023,Laikipia,566322.891511012
2023,Lamu,169256.633295923
2023,Machakos,1494974.1491776
2023,Makueni,1047617.96941528
2023,Mandera,969582.191831527
2023,Marsabit,520631.522017463
2023,Meru,1635358.89959399
2023,Migori,1247386.88732986
2023,Mombasa,1324349.66529692
2023,Murang'a,1117737.12141714
2023,Nairobi City,4783478.04860128
2023,Nakuru,2370335.5386968
2023,Nandi,958559.362948
2023,Narok,1300236.61901924
2023,Nyamira,659238.250600626
2023,Nyandarua,701538.735419917
2023,Nyeri,839484.609875365
2023,Samburu,352535.006779822
2023,Siaya,1067950.35006341
2023,Taita-Taveta,366060.332395478
2023,Tana River,356680.488051931
2023,Tharaka-Nithi,418442.670695878
2023,Trans-Nzoia,1078010.12613691
2023,Turkana,1034220.70826637
2023,Uasin Gishu,1268305.9210074
2023,Vihiga,628175.269326968
2023,Wajir,880715.481929088
2023,West Pokot,683187.506905609
2024,Baringo,757104.021815639
2024,Bomet,959272.919556461
2024,Bungoma,1831020.22284735
2024,Busia,996904.244266635
2024,"Elgeyo-
Marakwet",505832.975038199
2024,Embu,658533.005897517
2024,Garissa,960558.650340773
2024,Homa Bay,1267289.63398849
2024,Isiolo,327063.353327212
2024,Kajiado,1313943.92282194
2024,Kakamega,2055932.38750764
2024,Kericho,974286.138017121
2024,Kiambu,2730525.94935325
2024,Kilifi,1622232.24929351
2024,Kirinyaga,661263.758881901
2024,Kisii,1364381.80621897
2024,Kisumu,1280247.52895177
2024,Kitui,1252059.52184556
2024,Kwale,977800.273258033
2024,Laikipia,577815.371038915
2024,Lamu,173725.508434797
2024,Machakos,1511132.68760763
2024,Makueni,1060035.87443983
2024,Mandera,996525.114682512
2024,Marsabit,533580.402201608
2024,Meru,1656780.52401111
2024,Migori,1278343.17944959
2024,Mombasa,1354769.83090552
2024,Murang'a,1130522.22291223
2024,Nairobi City,4872129.5920206
2024,Nakuru,2422135.26368639
2024,Nandi,974752.077448302
2024,Narok,1338628.88463746
2024,Nyamira,663678.206356173
2024,Nyandarua,714980.338068951
2024,Nyeri,848490.029453854
2024,Samburu,362583.767064035
2024,Siaya,1088397.81598726
2024,Taita-Taveta,370791.741872417
2024,Tana River,366086.343495001
2024,Tharaka-Nithi,423140.356256716
2024,Trans-Nzoia,1099003.68566831
2024,Turkana,1061821.21365369
2024,Uasin Gishu,1295571.24182947
2024,Vihiga,633860.615941135
2024,Wajir,904734.569156541
2024,West Pokot,699383.79489344
2025,Baringo,774548.533658085
2025,Bomet,973619.537423701
2025,Bungoma,1862989.39130541
2025,Busia,1017595.99931182
2025,"Elgeyo-
Marakwet",513542.527669724
2025,Embu,665786.634804675
2025,Garissa,985058.962521282
2025,Homa Bay,1293621.46220445
2025,Isiolo,335228.105644244
2025,Kajiado,1347640.14122782
2025,Kakamega,2094683.55831633
2025,Kericho,989004.25092243
2025,Kiambu,2788338.62277533
2025,Kilifi,1653979.2333836
2025,Kirinyaga,667245.452252516
2025,Kisii,1378545.65193647
2025,Kisumu,1303510.14946548
2025,Kitui,1268229.15755508
2025,Kwale,1002304.73838943
2025,Laikipia,589714.811842829
2025,Lamu,178395.00024693
2025,Machakos,1527834.4246485
2025,Makueni,1073018.95205769
2025,Mandera,1025677.12125895
2025,Marsabit,547277.4187996
2025,Meru,1679041.34765083
2025,Migori,1310717.35428593
2025,Mombasa,1386952.20767279
2025,Murang'a,1143892.60536022
2025,Nairobi City,4968714.13878693
2025,Nakuru,2476126.58317959
2025,Nandi,991577.471514966
2025,Narok,1379088.43044665
2025,Nyamira,668421.913196818
2025,Nyandarua,728872.74886358
2025,Nyeri,857764.575396679
2025,Samburu,373145.477361362
2025,Siaya,1109990.55644317
2025,Taita-Taveta,375709.525865396
2025,Tana River,375850.624594704
2025,Tharaka-Nithi,428022.78622078
2025,Trans-Nzoia,1120982.44779114
2025,Turkana,1090970.90566069
2025,Uasin Gishu,1324666.92905854
2025,Vihiga,639821.063165151
2025,Wajir,930012.267336613
2025,West Pokot,716373.507404784
2026,Baringo,792840.486868135
2026,Bomet,988665.36679558
2026,Bungoma,1896306.30509795
2026,Busia,1039296.04463752
2026,"Elgeyo-
Marakwet",521574.951522207
2026,Embu,673298.692162554
2026,Garissa,1010692.80001567
2026,Homa Bay,1321287.05999189
2026,Isiolo,343783.685714992
2026,Kajiado,1383055.70724075
2026,Kakamega,2135028.50969629
2026,Kericho,1004703.0553194
2026,Kiambu,2849220.89034054
2026,Kilifi,1686638.96532782
2026,Kirinyaga,673492.823744953
2026,Kisii,1393319.27679811
2026,Kisumu,1327872.20168919
2026,Kitui,1285064.87412114
2026,Kwale,1027989.32990985
2026,Laikipia,602037.833131115
2026,Lamu,183276.714761316
2026,Machakos,1545098.40584893
2026,Makueni,1086591.59599307
2026,Mandera,1057286.70552038
2026,Marsabit,561774.407920293
2026,Meru,1702173.46062043
2026,Migori,1344599.87596998
2026,Mombasa,1421000.03706861
2026,Murang'a,1157865.96738626
2026,Nairobi City,5074284.52468445
2026,Nakuru,2532426.24235618
2026,Nandi,1009063.61233759
2026,Narok,1421748.54781998
2026,Nyamira,673480.514387024
2026,Nyandarua,743235.24703082
2026,Nyeri,867318.064750833
2026,Samburu,384252.436982839
2026,Siaya,1132810.34897178
2026,Taita-Taveta,380821.02984878
2026,Tana River,385987.920965644
2026,Tharaka-Nithi,433098.123109794
2026,Trans-Nzoia,1144001.6238743
2026,Turkana,1121776.45849104
2026,Uasin Gishu,1355768.30732259
2026,Vihiga,646068.267295839
2026,Wajir,956627.590532514
2026,West Pokot,734198.340927724
